"","WA.inv","WA.cla","WA.inv.tol","WA.cla.tol","depth","type","min","mean","max"
"1",15.7403364549143,17.5239338222591,15.9742358855876,17.5873566418892,1,"reconstuction",1.485960978,1.613893858,1.761408391
"2",22.7631885189342,27.753982021656,21.2632794560435,24.9084548587324,2,"reconstuction",3.440265799,3.68564934,3.967171917
"3",26.2339884804285,32.8032461758904,24.9929166739587,30.0822735435346,3,"reconstuction",7.29619606,7.700077473,8.127073395
"4",29.6041436584729,37.7123968278082,27.6662803410887,33.7951510750795,4,"reconstuction",12.32959952,12.89939196,13.49719552
"5",28.2832351836778,35.7960358177238,27.8883491549762,34.1158147313326,5,"reconstuction",17.35190799,18.04299877,18.82304097
"6",28.8574341971193,36.6239332927999,27.3073589862188,33.3006983625181,6,"reconstuction",22.40315523,23.16728573,24.08265253
"7",29.4089230844519,37.4371225638729,27.3488245755498,33.3683521009258,7,"reconstuction",29.47829244,30.44770071,31.64535409
"8",30.2690614850776,38.6802111088612,28.1459615425627,34.4728081999329,8,"reconstuction",35.65455279,36.84007713,38.25889791
"9",32.0901671178352,41.3425530853536,31.8364260051572,39.6037639838134,9,"reconstuction",44.74109043,46.14444267,47.79000214
"10",31.5212237671875,40.509776230188,31.2821579521448,38.8284181446443,10,"reconstuction",52.0240808,53.61946911,55.536296
"11",30.5360256087009,39.0727262143612,28.8294377840231,35.415805854658,11,"reconstuction",55.86058192,57.67572546,59.93591145
"12",31.2013313451755,40.0356044992202,29.2113366466053,35.9467028722134,12,"reconstuction",69.27239569,71.568931,74.27707473
"13",31.7606090234454,40.8614566544539,30.9635590604033,38.3851354832947,13,"reconstuction",76.7835829,79.72454977,82.97218453
"14",32.4904205857383,41.9372156756799,32.2085506994846,40.1446701993361,14,"reconstuction",79.28550435,82.34026242,85.80166627
"15",32.8372305968096,42.4424082507448,32.5767401432493,40.656486801143,15,"reconstuction",86.61497212,90.26129747,94.46879143
